track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage,lifecycle_stage,retention_stability_index,entry_age_days,content_maturity,retention_segment,entry_strength,opportunity_segment,marketing_intensity,playlist_recommendation
0 confianza | rvfv,0 CONFIANZA,Rvfv,2025-06-02,2025-06-23,40,23,42,20,35,62,62,album,20,False,3.625,22,22,0.9090909090909091,90.9090909090909,2025-06-07,23,5,0.38872180451127764,0.5842105263157888,17,2,Stable,27,77.14285714285715,Mature Phase,65.46,380,Established,Long Retention,Weak Entry,Hidden Opportunity,High,Increase Playlist Exposure
"1 de enero, puntacana | rels b","1 de Enero, Puntacana",Rels B,2025-04-28,2025-04-28,45,45,45,1,65,65,65,album,13,False,1.5833333333333333,1,1,1.0,100.0,2025-04-28,45,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,345,Established,Short Retention,Weak Entry,Short-Term Hit,Medium,Monitor Exit Risk
1000cosas | lola indigo & manuel turizo,1000COSAS,Lola Indigo & Manuel Turizo,2025-03-10,2025-11-13,3,3,44,245,65,81,72,single,1,False,3.9913666666666665,249,249,0.9839357429718876,98.39357429718876,2025-03-10,3,0,0.12100384336061488,-0.027497572399611744,0,41,Stable,7,10.76923076923077,Peak Phase,87.77,296,Established,High Retention,Strong Entry,Star Content,Very High,Maintain Strong Playlist Support
100xciento | foreign teck & eladio carrion & de la ghetto,100xCiento,Foreign Teck & Eladio Carrion & De La Ghetto,2025-04-30,2025-05-15,42,13,37,11,72,75,75,single,1,True,3.661366666666667,16,16,0.6875,68.75,2025-05-11,13,11,-0.9636363636363628,0.34545454545454457,29,-5,Improving,3,4.166666666666666,Growth Phase,35.01,347,Established,Long Retention,Weak Entry,Star Content,Very High,Increase Playlist Exposure
14 febreros | quevedo,14 FEBREROS,Quevedo,2025-11-24,2025-11-27,9,9,16,4,63,68,68,album,18,True,2.8737,4,4,1.0,100.0,2025-11-24,9,0,2.4000000000000012,1.699999999999998,0,7,Declining,5,7.936507936507936,New Entry,29.41,555,Established,Short Retention,Strong Entry,Low Priority,Low,Monitor Exit Risk
2am | sebastian yatra & bad gyal,2AM,Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,41,31,31,4,55,64,64,single,1,False,3.2737666666666665,4,4,1.0,100.0,2025-11-27,31,3,-3.8,2.999999999999999,10,-10,Improving,9,16.363636363636363,New Entry,20.83,555,Established,Short Retention,Weak Entry,Low Priority,Low,Increase Playlist Exposure
2xll | jc reyes & yovngchimi & slayter,2xLL,JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,50,35,47,26,61,71,71,single,1,False,2.9818166666666666,29,29,0.896551724137931,89.65517241379311,2025-07-23,35,11,0.1688888888888887,0.30940170940170975,15,-3,Stable,10,16.39344262295082,Mature Phase,76.7,420,Established,Long Retention,Weak Entry,Hidden Opportunity,High,Increase Playlist Exposure
3 caídas | saiko,3 CAÍDAS,SAIKO,2025-04-28,2025-05-05,13,13,47,8,61,69,69,album,16,False,4.19275,8,8,1.0,100.0,2025-04-28,13,0,4.714285714285713,0.9761904761904744,0,34,Declining,8,13.114754098360656,Decline Phase,17.5,345,Established,Moderate Retention,Moderate Entry,Low Priority,Low,Maintain Current Support
4 prez | cruz cafuné,4 PREZ,Cruz Cafuné,2024-05-28,2024-05-29,35,35,46,2,53,56,56,album,23,True,2.4914,2,2,1.0,100.0,2024-05-28,35,0,10.999999999999995,2.9999999999999916,0,11,Declining,3,5.660377358490567,New Entry,8.33,10,Fresh,Short Retention,Weak Entry,Low Priority,Low,Monitor Exit Risk
4to 23 | aitana,4TO 23,Aitana,2025-07-07,2025-07-16,17,17,50,9,58,69,69,single,1,False,2.8053333333333335,10,10,0.9,90.0,2025-07-07,17,0,4.1499999999999995,1.4499999999999997,0,33,Declining,11,18.96551724137931,Decline Phase,17.48,415,Established,Moderate Retention,Moderate Entry,Low Priority,Low,Maintain Current Support
