song,artist,rank_slope,rank_improvement,entry_position,best_position,time_to_peak_days,days_on_playlist
Cosas Pendientes,Maluma,-11.00000000000001,11,48,37,3,4
Last Christmas - Single Version,Wham!,-11.000000000000009,45,49,4,2,5
Rockin' Around The Christmas Tree,Brenda Lee,-10.400000000000002,40,47,7,1,4
COMUNA 3,JC Reyes & The Rude Boyz,-9.000000000000007,9,47,38,1,2
DEMO #5: nostalgIA - Spanglish Version,FlowGPT,-8.0,8,20,12,1,2
Conexión,Cano & JC Reyes,-6.000000000000006,6,46,40,1,2
rompeolas,Martin Urrutia,-6.000000000000001,6,45,39,6,7
DEPORTIVO,Blessd & Anuel AA,-5.6,15,50,35,7,8
2AM,Sebastian Yatra & Bad Gyal,-3.8,10,41,31,3,4
Maquillaje - Remix,Renn & Myke Towers & Nio Garcia,-3.599999999999998,12,37,25,4,5
CORLEONE,Saiko & Yandel,-3.321428571428575,16,32,16,4,7
G-WA,ZHEUS,-2.200000000000005,9,48,39,2,7
Fecha,Feid & Yandel,-2.1000000000000036,11,50,39,3,5
La Baby,Brytiago,-1.9808823529411757,39,42,3,27,30
YO TENGO UN NOVIO,Lola Indigo,-1.8452380952380956,24,42,18,4,8
COLMILLO,Tainy,-1.7333333333333307,26,44,18,22,27
Gran Día,Mau y Ricky & Guaynaa,-1.714285714285713,31,48,17,15,17
OTRA NOCHE,Myke Towers & Darell,-1.699999999999998,5,41,36,3,4
Imagínate,Danny Ocean & Kapo,-1.5164835164835162,30,45,15,8,13
Yo sé,Yan Block & TORRRES,-1.1705982905982901,41,49,8,21,27
