song,artist,days_on_playlist,best_position,entry_position,time_to_peak_days,retention_stability_index
La Bachata,Manuel Turizo,551,11,24,228,96.74
AMARGURA,KAROL G,524,16,50,426,26.49
VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,517,3,39,17,65.92
Columbia,Quevedo,483,1,39,1,86.95
LALA,Myke Towers,453,1,42,6,58.77
TQG,KAROL G,448,9,9,0,20.85
QLONA,KAROL G,427,8,37,26,74.11
Amanece,Anuel AA & Haze,408,47,50,29,3.61
El Merengue,Marshmello,380,19,20,1,80.66
Manos Rotas,DELLAFUENTE & Morad,371,1,13,11,75.13
LA FALDA,Myke Towers,364,1,3,85,92.06
LUNA,Feid,361,2,28,40,94.07
Mi Luz (ft. Rels B),Rvfv,361,32,50,353,47.21
DILUVIO,Rauw Alejandro,359,3,29,26,44.17
MI EX TENÍA RAZÓN,KAROL G,353,16,16,0,2.97
Supernova,Saiko,351,1,1,0,47.54
POLARIS - Remix,Saiko & Feid & Quevedo,314,1,1,0,87.83
LA CAPI,Myke Towers,286,13,41,39,74.52
BABY HELLO,Rauw Alejandro,285,3,3,0,85.16
MODELITO,Mora,282,4,50,64,88.24
El Cielo,Sky Rompiendo & Feid & Myke Towers,279,2,10,6,82.65
Lo Que Tiene,Morad & Beny Jr & Rvfv,259,5,12,3,85.55
Los del Espacio,LIT killah,258,2,16,5,83.14
COSAS QUE NO TE DIJE,Saiko,255,7,42,118,93.91
Narcotics (with Bryant Myers),Dei V & Bryant Myers,251,15,35,85,74.36
1000COSAS,Lola Indigo & Manuel Turizo,249,3,3,0,87.77
Arena y Sal,Omar Montes & Saiko & Tunvao,245,3,18,77,87.98
PUNTO G,Quevedo,241,23,27,12,59.88
EL TONTO,Lola Indigo,238,2,2,0,68.64
Nochentera,Vicco,237,9,11,9,54.8
Clavaito,Chanel & Abraham Mateo,232,6,8,15,54.68
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,231,27,31,11,51.34
REINA,Mora,231,1,1,0,85.24
PERRO NEGRO,Bad Bunny,230,2,5,3,75.01
DESPECHÁ,ROSALÍA,226,39,43,21,20.35
X'CLUSIVO - REMIX,Gonzy & SAIKO & Arcángel,224,1,1,0,86.34
Holanda,Jhayco,221,3,47,12,82.85
La_Original.mp3,Emilia,212,10,24,124,91.46
