track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage,lifecycle_stage,retention_stability_index,entry_age_days,content_maturity,retention_segment,entry_strength
"1 de enero, puntacana | rels b","1 de Enero, Puntacana",Rels B,2025-04-28,2025-04-28,45,45,45,1,65,65,65,album,13,False,1.5833333333333333,1,1,1.0,100.0,2025-04-28,45,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,345,Established,Short Retention,Weak Entry
50 palos | feid,50 PALOS,Feid,2024-12-02,2024-12-02,38,38,38,1,0,0,0,album,10,True,2.787333333333333,1,1,1.0,100.0,2024-12-02,38,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,198,Established,Short Retention,Weak Entry
attitude (feat. charlie wilson & cash cobain) | don toliver,ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),Don Toliver,2025-06-21,2025-06-21,46,46,46,1,69,69,69,album,16,True,2.6842166666666665,1,1,1.0,100.0,2025-06-21,46,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,399,Established,Short Retention,Weak Entry
amar de nuevo | rauw alejandro,Amar De Nuevo,Rauw Alejandro,2025-11-17,2025-11-17,45,45,45,1,64,64,64,album,18,True,4.467366666666667,1,1,1.0,100.0,2025-11-17,45,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,548,Established,Short Retention,Weak Entry
caché | myke towers,CACHÉ,Myke Towers,2025-08-24,2025-08-24,47,47,47,1,0,0,0,album,20,True,3.2817666666666665,1,1,1.0,100.0,2025-08-24,47,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,463,Established,Short Retention,Weak Entry
beso prohibido | beny jr,Beso Prohibido,Beny Jr,2025-09-07,2025-09-07,49,49,49,1,64,64,64,album,14,False,2.5477666666666665,1,1,1.0,100.0,2025-09-07,49,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,477,Established,Short Retention,Weak Entry
barro | duki,Barro,Duki,2025-10-20,2025-10-20,40,40,40,1,60,60,60,single,1,False,3.3508666666666667,1,1,1.0,100.0,2025-10-20,40,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,520,Established,Short Retention,Weak Entry
bandit | don toliver,BANDIT,Don Toliver,2025-06-21,2025-06-21,27,27,27,1,69,69,69,album,16,True,2.4617666666666667,1,1,1.0,100.0,2025-06-21,27,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,399,Established,Short Retention,Weak Entry
cangrinaje | cruz cafuné,Cangrinaje,Cruz Cafuné,2024-05-28,2024-05-28,48,48,48,1,56,56,56,album,23,True,3.5294166666666666,1,1,1.0,100.0,2024-05-28,48,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,10,Fresh,Short Retention,Weak Entry
call me maybe | duki,CALL ME MAYBE,Duki,2024-12-10,2024-12-10,50,50,50,1,65,65,65,single,1,False,3.7066833333333333,1,1,1.0,100.0,2024-12-10,50,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,206,Established,Short Retention,Weak Entry
cartera & tacos | myke towers,CARTERA & TACOS,Myke Towers,2024-11-25,2024-11-25,47,47,47,1,0,0,0,album,23,True,2.1655333333333333,1,1,1.0,100.0,2024-11-25,47,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,191,Established,Short Retention,Weak Entry
desquite | feid,DESQUITE,Feid,2024-12-02,2024-12-02,39,39,39,1,0,0,0,album,10,False,2.2257666666666664,1,1,1.0,100.0,2024-12-02,39,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,198,Established,Short Retention,Weak Entry
