song,artist,entry_date,exit_date,days_on_playlist,observations,continuity_percentage,best_position,lifecycle_stage
"1 de Enero, Puntacana",Rels B,2025-04-28,2025-04-28,1,1,100.0,45,New Entry
50 PALOS,Feid,2024-12-02,2024-12-02,1,1,100.0,38,New Entry
Amar De Nuevo,Rauw Alejandro,2025-11-17,2025-11-17,1,1,100.0,45,New Entry
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),Don Toliver,2025-06-21,2025-06-21,1,1,100.0,46,New Entry
Barro,Duki,2025-10-20,2025-10-20,1,1,100.0,40,New Entry
BANDIT,Don Toliver,2025-06-21,2025-06-21,1,1,100.0,27,New Entry
AUNQUE LLEGUE OTRO (feat. Jay Wheeler),Myke Towers,2025-08-24,2025-08-24,1,1,100.0,23,New Entry
Beso Prohibido,Beny Jr,2025-09-07,2025-09-07,1,1,100.0,49,New Entry
Caserio,Yandel & SAIKO,2025-03-10,2025-03-10,1,1,100.0,41,New Entry
Cine 🚬,Duki,2025-11-03,2025-11-03,1,1,100.0,42,New Entry
Committed,Rauw Alejandro,2025-11-17,2025-11-17,1,1,100.0,29,New Entry
CARTERA & TACOS,Myke Towers,2024-11-25,2024-11-25,1,1,100.0,47,New Entry
CACHÉ,Myke Towers,2025-08-24,2025-08-24,1,1,100.0,47,New Entry
CALL ME MAYBE,Duki,2024-12-10,2024-12-10,1,1,100.0,50,New Entry
Cangrinaje,Cruz Cafuné,2024-05-28,2024-05-28,1,1,100.0,48,New Entry
Cómo Te Atreves,Morat,2025-03-02,2025-03-02,1,1,100.0,45,New Entry
Duro De Verdad pt.2,Los Sufridos,2025-09-20,2025-09-20,1,1,100.0,39,New Entry
El Destello,Juanjo Bona & Martin Urrutia,2025-10-06,2025-10-06,1,1,100.0,36,New Entry
Escriurem,Chiara Oliver & Martin Urrutia,2025-01-25,2025-01-25,1,1,100.0,47,New Entry
EMRATA,Myke Towers,2024-11-25,2024-11-25,1,1,100.0,46,New Entry
"FLOWHOT (feat. Arcángel, De La Ghetto, Randy)",The Academy: Segunda Misión & Sech & Dalex,2025-03-31,2025-03-31,1,1,100.0,32,New Entry
Fosforito,DELLAFUENTE,2025-06-16,2025-06-16,1,1,100.0,46,New Entry
FRÍO,Myke Towers,2025-08-24,2025-08-24,1,1,100.0,36,New Entry
Figo,DELLAFUENTE & Morad,2024-12-02,2024-12-02,1,1,100.0,44,New Entry
do it 4 th€ gram,Cruz Cafuné,2025-07-21,2025-07-21,1,1,100.0,34,New Entry
DESQUITE,Feid,2024-12-02,2024-12-02,1,1,100.0,39,New Entry
Dios #1,Cruz Cafuné,2024-05-28,2024-05-28,1,1,100.0,43,New Entry
DINERO y FAMA (feat. Omar Montes),Myke Towers,2025-08-24,2025-08-24,1,1,100.0,40,New Entry
Cruel Summer,Taylor Swift,2025-06-01,2025-06-01,1,1,100.0,39,New Entry
Detrás del DJ,Rels B,2025-04-28,2025-04-28,1,1,100.0,39,New Entry
Hardaway,Duki,2025-11-03,2025-11-03,1,1,100.0,35,New Entry
OTRA OPORTUNIDAD,Myke Towers,2025-08-24,2025-08-24,1,1,100.0,25,New Entry
Like I Can (feat. Aitana),Sam Smith & Aitana,2025-08-10,2025-08-10,1,1,100.0,42,New Entry
Lo que no ves de mí,Juanjo Bona,2025-04-18,2025-04-18,1,1,100.0,38,New Entry
Ma Meilleure Ennemie (from the series Arcane League of Legends),Stromae & Pomme & Arcane,2025-11-27,2025-11-27,1,1,100.0,38,New Entry
Luchas Mentales,Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,43,New Entry
Mama's Boy,Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,34,New Entry
Mi Cuarto,Tiago PZK & Rels B,2025-10-27,2025-10-27,1,1,100.0,46,New Entry
MEJOR ASÍ,Myke Towers,2025-08-24,2025-08-24,1,1,100.0,37,New Entry
Mamasota,Manuel Turizo & Yandel,2025-03-15,2025-03-15,1,1,100.0,50,New Entry
Mencionar,Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,42,New Entry
OTRO ROUND,Myke Towers,2024-11-25,2024-11-25,1,1,100.0,50,New Entry
Oye BB,Omar Montes & Nicky Jam,2024-11-11,2024-11-11,1,1,100.0,43,New Entry
PA' LA VUELTA,Eladio Carrion & Morad,2024-08-06,2024-08-06,1,1,100.0,49,New Entry
Pasaporte,Rauw Alejandro & Mr. Naisgai,2025-09-29,2025-09-29,1,1,100.0,49,New Entry
OBVIO,Myke Towers,2024-11-25,2024-11-25,1,1,100.0,25,New Entry
m€ntiras,Cruz Cafuné,2025-07-21,2025-07-21,1,1,100.0,43,New Entry
Mil Mujeres,Rauw Alejandro,2025-11-17,2025-11-17,1,1,100.0,36,New Entry
Pasaporte,Rauw Alejandro,2025-11-17,2025-11-17,1,1,100.0,43,New Entry
la noia,Angelina Mango,2025-05-14,2025-05-14,1,1,100.0,47,New Entry
La Gata Bajo La Lluvia,Naiara,2025-01-25,2025-01-25,1,1,100.0,46,New Entry
La Torre Picasso,Arde Bogotá,2025-09-15,2025-09-15,1,1,100.0,46,New Entry
LA VUELTA,Feid,2024-12-02,2024-12-02,1,1,100.0,48,New Entry
LATTE (feat. Maria Becerra),The Academy: Segunda Misión & Sech & Dalex,2025-03-31,2025-03-31,1,1,100.0,43,New Entry
