Driver,Correlation_with_Longevity,Absolute_Correlation
Time to Peak,0.4879565187850147,0.4879565187850147
Peak Popularity,0.36624215751153777,0.36624215751153777
Rank Improvement,0.35666820754679057,0.35666820754679057
Continuity,-0.2860197078437881,0.2860197078437881
Retention Stability,0.1693616398560031,0.1693616398560031
Entry Popularity,0.1369215971616577,0.1369215971616577
Entry Position,-0.12456032137676092,0.12456032137676092
Album Size,-0.12078935185455475,0.12078935185455475
Popularity Growth,0.11516805608948907,0.11516805608948907
Song Duration,0.0003243357812282349,0.0003243357812282349
