song,artist,entry_date,exit_date,days_on_playlist,best_position,time_to_peak_days,lifecycle_stage
La Bachata,Manuel Turizo,2024-05-18,2025-11-19,551,11,228,Mature Phase
AMARGURA,KAROL G,2024-05-26,2025-10-31,524,16,426,Mature Phase
VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,2024-05-18,2025-10-16,517,3,17,Peak Phase
Columbia,Quevedo,2024-07-08,2025-11-02,483,1,1,Peak Phase
LALA,Myke Towers,2024-06-29,2025-09-24,453,1,6,Peak Phase
TQG,KAROL G,2024-05-18,2025-08-08,448,9,0,Peak Phase
QLONA,KAROL G,2024-08-19,2025-10-19,427,8,26,Peak Phase
Amanece,Anuel AA & Haze,2024-05-25,2025-07-06,408,47,29,Mature Phase
El Merengue,Marshmello,2024-11-04,2025-11-18,380,19,1,Mature Phase
Manos Rotas,DELLAFUENTE & Morad,2024-11-18,2025-11-23,371,1,11,Peak Phase
LA FALDA,Myke Towers,2024-11-25,2025-11-23,364,1,85,Peak Phase
Mi Luz (ft. Rels B),Rvfv,2024-10-23,2025-10-18,361,32,353,Mature Phase
LUNA,Feid,2024-12-02,2025-11-27,361,2,40,Peak Phase
DILUVIO,Rauw Alejandro,2024-10-21,2025-10-14,359,3,26,Peak Phase
MI EX TENÍA RAZÓN,KAROL G,2024-08-13,2025-07-31,353,16,0,Decline Phase
Supernova,Saiko,2024-05-18,2025-05-03,351,1,0,Peak Phase
POLARIS - Remix,Saiko & Feid & Quevedo,2024-06-11,2025-04-20,314,1,0,Peak Phase
LA CAPI,Myke Towers,2024-12-14,2025-09-25,286,13,39,Mature Phase
BABY HELLO,Rauw Alejandro,2024-07-09,2025-04-19,285,3,0,Peak Phase
MODELITO,Mora,2024-09-09,2025-06-17,282,4,64,Peak Phase
