song,artist,entry_date,exit_date,days_on_playlist,continuity_percentage,best_position,retention_stability_index,lifecycle_stage
La Bachata,Manuel Turizo,2024-05-18,2025-11-19,551,97.64065335753176,11,96.74,Mature Phase
AMARGURA,KAROL G,2024-05-26,2025-10-31,524,29.198473282442748,16,26.49,Mature Phase
VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,2024-05-18,2025-10-16,517,74.46808510638297,3,65.92,Peak Phase
Columbia,Quevedo,2024-07-08,2025-11-02,483,95.8592132505176,1,86.95,Peak Phase
LALA,Myke Towers,2024-06-29,2025-09-24,453,68.43267108167771,1,58.77,Peak Phase
TQG,KAROL G,2024-05-18,2025-08-08,448,26.785714285714285,9,20.85,Peak Phase
QLONA,KAROL G,2024-08-19,2025-10-19,427,80.09367681498829,8,74.11,Peak Phase
Amanece,Anuel AA & Haze,2024-05-25,2025-07-06,408,3.6764705882352944,47,3.61,Mature Phase
El Merengue,Marshmello,2024-11-04,2025-11-18,380,83.42105263157895,19,80.66,Mature Phase
Manos Rotas,DELLAFUENTE & Morad,2024-11-18,2025-11-23,371,88.67924528301887,1,75.13,Peak Phase
LA FALDA,Myke Towers,2024-11-25,2025-11-23,364,98.62637362637363,1,92.06,Peak Phase
LUNA,Feid,2024-12-02,2025-11-27,361,98.89196675900277,2,94.07,Peak Phase
Mi Luz (ft. Rels B),Rvfv,2024-10-23,2025-10-18,361,47.64542936288089,32,47.21,Mature Phase
DILUVIO,Rauw Alejandro,2024-10-21,2025-10-14,359,52.36768802228412,3,44.17,Peak Phase
MI EX TENÍA RAZÓN,KAROL G,2024-08-13,2025-07-31,353,6.232294617563739,16,2.97,Decline Phase
Supernova,Saiko,2024-05-18,2025-05-03,351,58.97435897435898,1,47.54,Peak Phase
POLARIS - Remix,Saiko & Feid & Quevedo,2024-06-11,2025-04-20,314,99.04458598726114,1,87.83,Peak Phase
LA CAPI,Myke Towers,2024-12-14,2025-09-25,286,81.46853146853147,13,74.52,Mature Phase
BABY HELLO,Rauw Alejandro,2024-07-09,2025-04-19,285,98.94736842105263,3,85.16,Peak Phase
MODELITO,Mora,2024-09-09,2025-06-17,282,98.93617021276596,4,88.24,Peak Phase
