month,avg_new_entries,avg_exits,avg_churn_rate,total_new_entries,total_exits,avg_entry_rate,avg_exit_rate,playlist_stability_index
2024-05,4.57,0.71,5.29,64.0,10.0,9.14,1.43,94.71
2024-06,0.67,0.7,1.37,20.0,21.0,1.33,1.4,98.63
2024-07,0.65,0.65,1.29,20.0,20.0,1.29,1.29,98.71
2024-08,0.9,0.55,1.45,28.0,17.0,1.81,1.1,98.55
2024-09,0.83,1.0,1.83,25.0,30.0,1.67,2.0,98.17
2024-10,1.29,1.1,2.39,40.0,34.0,2.58,2.19,97.61
2024-11,0.7,0.73,1.43,21.0,22.0,1.4,1.47,98.57
2024-12,1.16,1.1,2.26,36.0,34.0,2.32,2.19,97.74
2025-01,0.9,1.16,2.06,28.0,36.0,1.81,2.32,97.94
2025-02,0.57,0.57,1.14,16.0,16.0,1.14,1.14,98.86
2025-03,0.93,0.86,1.79,27.0,25.0,1.86,1.72,98.21
2025-04,1.63,1.23,2.87,49.0,37.0,3.27,2.47,97.13
2025-05,0.68,1.03,1.71,21.0,32.0,1.35,2.06,98.29
2025-06,0.97,1.03,2.0,29.0,31.0,1.93,2.07,98.0
2025-07,0.83,0.9,1.73,25.0,27.0,1.67,1.8,98.27
2025-08,0.97,1.03,2.0,29.0,31.0,1.93,2.07,98.0
2025-09,0.73,0.7,1.43,22.0,21.0,1.47,1.4,98.57
2025-10,0.65,0.87,1.52,20.0,27.0,1.29,1.74,98.48
2025-11,2.04,3.85,5.89,55.0,104.0,4.07,7.7,94.11
