song,artist,entry_popularity,peak_popularity,popularity_growth_to_peak,popularity_growth_pct,days_on_playlist
MONACO,Bad Bunny,0,98,98,,91
PERRO NEGRO,Bad Bunny,0,97,97,,230
LUNA,Feid,0,97,97,,361
Si Antes Te Hubiera Conocido,KAROL G,0,96,96,,159
LA FALDA,Myke Towers,0,94,94,,364
FINA,Bad Bunny,0,93,93,,36
HIBIKI,Bad Bunny,0,92,92,,49
UN PREVIEW,Bad Bunny,0,92,92,,37
New Woman (feat. ROSALÍA),LISA & ROSALÍA,0,91,91,,14
BABY NUEVA,Bad Bunny,0,90,90,,15
SEDA,Bad Bunny,0,90,90,,123
NADIE SABE,Bad Bunny,0,89,89,,15
TELEFONO NUEVO,Bad Bunny,0,89,89,,15
REINA,Mora,0,89,89,,231
DONDE SE APRENDE A QUERER?,Mora,0,88,88,,172
MR. OCTOBER,Bad Bunny,0,88,88,,8
SE ME OLVIDA,Maisak & Feid,0,87,87,,85
THUNDER Y LIGHTNING,Bad Bunny,0,87,87,,35
CYBERTRUCK,Bad Bunny,0,87,87,,8
GRACIAS POR NADA,Bad Bunny,0,86,86,,7
