song,artist,days_on_playlist,retention_stability_index,best_position,entry_popularity,peak_popularity,album_type,is_explicit
La Bachata,Manuel Turizo,551,96.74,11,86,88,album,False
AMARGURA,KAROL G,524,26.49,16,85,92,album,True
VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,517,65.92,3,76,91,single,False
Columbia,Quevedo,483,86.95,1,61,97,single,False
LALA,Myke Towers,453,58.77,1,78,99,album,True
TQG,KAROL G,448,20.85,9,96,96,album,True
QLONA,KAROL G,427,74.11,8,74,94,album,True
Amanece,Anuel AA & Haze,408,3.61,47,84,85,single,False
El Merengue,Marshmello,380,80.66,19,11,81,album,False
Manos Rotas,DELLAFUENTE & Morad,371,75.13,1,44,85,single,False
LA FALDA,Myke Towers,364,92.06,1,0,94,album,True
LUNA,Feid,361,94.07,2,0,97,album,False
Mi Luz (ft. Rels B),Rvfv,361,47.21,32,80,81,album,False
DILUVIO,Rauw Alejandro,359,44.17,3,77,91,album,True
MI EX TENÍA RAZÓN,KAROL G,353,2.97,16,62,85,album,False
Supernova,Saiko,351,47.54,1,84,85,single,False
POLARIS - Remix,Saiko & Feid & Quevedo,314,87.83,1,74,90,single,True
LA CAPI,Myke Towers,286,74.52,13,72,81,album,True
BABY HELLO,Rauw Alejandro,285,85.16,3,0,79,album,True
MODELITO,Mora,282,88.24,4,80,85,album,True
