song,artist,album_type,is_explicit,days_on_playlist,continuity_percentage,best_position,rank_slope,retention_stability_index,lifecycle_stage
Yankee 150,Yandel & Feid & Daddy Yankee,single,True,1,100.0,46,0.0,100.0,New Entry
Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad,Raya Real,album,False,1,100.0,34,0.0,100.0,New Entry
"1 de Enero, Puntacana",Rels B,album,False,1,100.0,45,0.0,100.0,New Entry
Tu Ritmo,Eladio Carrion,album,True,1,100.0,21,0.0,100.0,New Entry
Tranquila Baby,Eladio Carrion,album,True,1,100.0,32,0.0,100.0,New Entry
Todo Lit,Eladio Carrion,album,True,1,100.0,23,0.0,100.0,New Entry
Timeless (with Playboi Carti),The Weeknd & Playboi Carti,single,True,1,100.0,50,0.0,100.0,New Entry
Amar De Nuevo,Rauw Alejandro,album,True,1,100.0,45,0.0,100.0,New Entry
Tanta Droga,Eladio Carrion,album,True,1,100.0,27,0.0,100.0,New Entry
SPANISH TETEO,Rvfv & Rels B & Omar Montes,single,True,2,100.0,50,-2.359760608687704e-15,100.0,New Entry
Sonrisa,Eladio Carrion,album,True,1,100.0,16,0.0,100.0,New Entry
Sigo Enamorau',Eladio Carrion,album,True,1,100.0,17,0.0,100.0,New Entry
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misión,album,True,1,100.0,16,0.0,100.0,New Entry
Shars 2023,Al Safir,single,False,2,100.0,21,-2.9562371437441025e-15,100.0,New Entry
SEXO DESENFRENADO,Myke Towers,album,True,1,100.0,45,0.0,100.0,New Entry
RoCKSTAR 2.0,Duki & Jhayco,single,True,1,100.0,14,0.0,100.0,New Entry
RITUAL,Myke Towers,album,True,1,100.0,48,0.0,100.0,New Entry
RITMO DE MEDALLO,Feid,album,False,2,100.0,37,-9.021098756438643e-15,100.0,New Entry
Rapeadita LOVE,Rels B,album,True,1,100.0,44,0.0,100.0,New Entry
rang€ rov€r,Cruz Cafuné,single,True,1,100.0,47,0.0,100.0,New Entry
